Rk,Age,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
284,23,2,41.6,1,0,0,0,55.3,29.2,0,0,0,0,22.3,0,0,0,0.439,4.3,-10.1,-5.8,0
255,24,11,37.4,0.9,0.8,0,0,10.7,5.4,34.4,0,0,0,20.8,0.1,0,0.1,0.448,15.5,-6.5,9,0.1
6,21,1024,32.5,0.616,0.014,0.396,8.3,24.9,16.4,8.5,2.4,6.6,6.2,27,4.5,1.6,6.1,0.286,3.9,2.3,6.3,5.9
8,26,572,32,0.552,0.147,0.449,6.7,12.8,9.8,50.4,3.8,0.1,13.6,41.1,2,1.1,3.1,0.26,11.2,1.9,13.2,5.6
290,23,10,30.7,0.765,0,0.4,0,11.2,5.6,0,9.9,0,25.4,34.3,0,0,0,0.111,-1.5,0.9,-0.6,0
27,24,612,28.6,0.59,0.003,0.523,11.7,31.6,22.3,18.1,1.8,3.8,15,34.1,1.8,1,2.8,0.217,3.2,2,5.2,3
113,26,254,28.2,0.648,0.28,0.409,0.4,18.3,9.7,25.9,1.4,2.6,16.1,32.6,0.9,0.4,1.3,0.243,4.6,0.1,4.7,1.1
272,23,6,26.4,0.694,0,1,0,0,0,27.4,0,0,0,21.8,0,0,0,0.386,2.5,-10.1,-7.5,0
1,25,1091,26.2,0.587,0.359,0.515,2.8,15.3,9.1,36.9,2.6,2.2,15.1,31.8,4.1,2,6.1,0.267,6.7,1.7,8.4,8
2,26,972,26.2,0.619,0.45,0.236,2.3,13.4,8.2,38.1,3.1,0.5,15.3,28.8,3.4,1.9,5.3,0.261,7.5,1.2,8.7,7.4
230,21,39,25.8,0.605,0,0.615,20.9,20.5,20.7,8.7,1.3,4.2,5.7,20.7,0.2,0.1,0.2,0.288,3.7,0.8,4.5,0.2
5,29,1082,25,0.586,0.287,0.273,2.5,12.9,7.8,44.3,3,0.7,11.9,22.8,4.4,1.2,5.6,0.249,6.5,0,6.5,6.2
7,30,1088,25,0.584,0.248,0.438,2.1,14.6,8.4,37.6,1.9,1.7,15.1,30.8,3.2,1,4.2,0.184,5.9,-0.1,5.8,5.9
4,28,1064,24.7,0.571,0.33,0.37,2.9,13,8,37.2,2.2,0.5,11,26.4,4.3,1,5.3,0.241,7.3,-0.3,7,6.4
43,27,548,24.7,0.746,0,0.336,10.8,13.2,12,3.4,1.7,6.3,9,15.2,2.2,0.6,2.9,0.252,3.3,1.8,5.1,2.5
39,33,760,24.5,0.564,0.095,0.342,4.8,9.8,7.3,37.9,1.8,1.4,14.4,35.1,1.5,0.4,1.9,0.118,4.8,-1.8,3,2.6
10,30,1047,23.6,0.577,0.016,0.44,5.6,21.4,13.6,18.4,1.4,3.8,12,26.3,2.6,1.7,4.3,0.198,2.2,2.6,4.8,4.8
3,24,1138,23.2,0.602,0.428,0.312,1.8,12.7,7.4,29.7,2.1,0.2,13.1,26.1,3.8,1.8,5.6,0.236,6.4,0.5,6.9,6.5
203,23,85,23.2,0.648,0.097,0.161,15.5,11.8,13.6,8.5,1.8,5.9,13.1,20.6,0.2,0.1,0.4,0.212,1.8,1.9,3.7,0.3
46,23,821,23,0.589,0,0.335,10.9,21.6,16.2,9.6,1.1,4.1,9.8,22.5,2.3,0.7,2.9,0.17,1.6,0.4,2,2.3
9,25,1119,22.7,0.608,0.201,0.56,5.9,10.9,8.5,14.1,1.9,1.1,7.3,22,4.4,1.3,5.6,0.242,4.5,0.6,5.1,5.5
254,30,130,22.7,0.582,0.633,0.025,6,20.6,13.3,4,0.8,3.7,4.8,28.7,0.3,0.1,0.5,0.169,3.5,-3.9,-0.5,0.1
22,38,867,22.5,0.534,0.003,0.426,10.2,27.5,19,16.6,1.7,5.2,12.5,24.6,1.4,1.8,3.3,0.18,-0.1,4.2,4.2,3.4
112,30,812,22.4,0.572,0.234,0.348,4.2,25.1,14.6,11.9,1.7,2.1,10.5,28.7,1.5,0.8,2.3,0.134,1,-1,0,1.1
297,19,18,22.3,0.652,0.375,0.125,0,12.5,6.2,10.1,0,4,0,20.4,0.1,0,0.1,0.177,2.4,-2.8,-0.4,0
12,32,936,22.2,0.713,0,0.619,15.6,28.6,22.1,5.9,1,3.7,16.1,13.6,3.4,1.3,4.6,0.238,2.9,1.9,4.9,4.1
233,23,51,22.2,0.527,0.267,0.6,10.6,21.8,16.2,15.9,4,3.1,9.5,18.5,0.1,0.1,0.2,0.212,1.3,4.1,5.3,0.2
23,25,1095,22,0.54,0.027,0.391,7.2,19.2,13.2,24.1,1.2,1.1,10.4,30.6,2.6,1,3.5,0.154,2.2,0.1,2.4,3.2
84,29,1014,21.9,0.514,0.057,0.25,8.4,22.4,15.6,9.4,1.1,2.5,7.2,29.5,1.7,1.9,3.6,0.17,-0.6,0.9,0.3,1.5
207,27,488,21.9,0.572,0.016,0.329,11.6,19.5,15.8,9.3,0.8,2.5,10.5,28.9,1.1,0.9,2,0.199,-0.9,-0.4,-1.3,0.3
73,36,881,21.8,0.578,0.263,0.298,2.2,19.9,11,12.4,0.9,1.3,6.8,26.6,2.6,0.7,3.4,0.183,2.6,-1.6,1.1,1.7
57,30,1055,21.5,0.537,0.221,0.282,6.2,15.8,10.9,17.2,1.2,0.9,9.5,31.5,2.1,0.2,2.3,0.107,3.2,-2.3,0.9,1.9
83,25,540,21.5,0.683,0,0.422,9.8,22.1,15.9,9.3,0.7,3,11.3,17.9,1.9,0.6,2.6,0.227,1.7,0.3,2.1,1.6
49,26,837,21.1,0.589,0.232,0.409,1.6,7.8,4.8,37.1,2.6,1.1,16.8,25.1,2.1,1.1,3.1,0.18,2.7,-0.7,2,2.3
11,24,1039,21,0.531,0.167,0.319,1.1,13.8,7.4,46.2,3,1.5,18.6,26,1.5,1.8,3.3,0.153,2.5,1.7,4.1,4.5
51,22,554,21,0.642,0.009,0.547,15.5,24.7,20.1,6.6,1.5,7.7,18.1,13.4,1.3,0.8,2,0.176,0.5,3.3,3.8,2.2
188,31,268,21,0.652,0.45,0.4,1.6,13.1,7,11.5,1.1,0,10.8,25.3,0.9,0,0.9,0.158,4.6,-4.3,0.2,0.4
63,28,731,20.9,0.579,0.45,0.42,2.1,6.1,4.1,10.6,2.5,0.2,7.4,26.6,2.3,0.6,2.9,0.19,4.3,-2.3,2,1.9
117,29,583,20.9,0.585,0.005,0.729,9.9,29.8,19.9,9.7,1.1,4.7,16.7,24.7,0.7,1.3,2,0.164,-2.2,2.7,0.5,1
222,28,71,20.8,0.65,0.517,0.138,4.6,15.6,10.1,26,0.7,0,16.3,23.3,0.2,0.1,0.3,0.186,4.5,-1.2,3.2,0.2
330,31,76,20.7,0.557,0.028,0.278,7.5,25.4,16.9,6.5,1.3,2.9,9,25.5,0.1,0.2,0.3,0.185,-3.3,-0.1,-3.4,-0.1
75,24,948,20.6,0.548,0.005,0.192,10.3,27.6,19,12.3,1,2.1,12.4,25,1.2,1.3,2.5,0.128,-0.3,1.1,0.8,1.7
110,25,594,20.6,0.576,0.372,0.451,2.6,8.1,5.4,25.8,1.6,0.1,11.6,26.7,1.9,0.4,2.2,0.179,3.9,-2.6,1.2,1.2
124,33,822,20.5,0.529,0.003,0.329,13.8,27.7,20.8,6.6,1.7,0.2,10,24.7,1.4,1.3,2.7,0.159,-0.1,-0.1,-0.2,1
134,26,291,20.5,0.583,0,0.174,13,24.5,18.7,11.6,2,5.3,12.3,16.8,0.7,0.3,1,0.164,0.5,2,2.5,0.8
53,34,949,20.3,0.531,0.013,0.312,8.3,26.6,18,12.6,0.7,4.1,11.9,24.3,1.3,1.6,3,0.15,-1,2.2,1.2,2.1
129,30,1004,20.3,0.516,0.002,0.188,5.1,25,14.6,11.4,0.8,2.8,5.6,26.9,1.1,1.2,2.3,0.111,-0.8,0.2,-0.7,0.9
20,27,997,20.2,0.568,0.277,0.311,1.3,9,5.2,30,1.9,0.2,12.1,24.8,2.5,1,3.4,0.165,4.2,-1,3.1,3.5
285,22,630,20.2,0.55,0.083,0.369,9,11.7,10.3,8.3,1.1,0.7,6.2,25.4,1.5,0,1.4,0.11,1.6,-3.7,-2.1,0
171,22,803,20.1,0.611,0,0.568,11,27.5,19.2,2.5,0.5,3.2,10.3,18.9,2.4,1,3.4,0.203,-0.2,-0.7,-0.9,0.6
